id,canonical_name,normalized_name,website,airport_codes,service_categories,employee_min,employee_max,naics_codes,sam_cage_code,qualification_status
216,Aerocharter LLC,aerocharter,https://aerocharterusa.com/,LAX,cargo handling; into-plane fueling; ramp; passenger cargo handling,11,50,"488190, 447190, 488510",,Yes
217,"Black Knight Patrol, Inc.",black knight patrol,https://blackknightpatrol.com/,LAX,security,11,50,561612,,Yes
218,Airline Coach Service LLC,airline coach service,https://www.airlinecoach.com/,LAX,airfield transportation,51,200,485999,,Yes
220,Certified Aviation Services LLC,certified aviation services,https://www.certifiedaviation.com/,EWR; LAX,certified aviation services; llc; aircraft line maintenance,201,750,488190,,Yes
221,Airport Terminal Management Inc,airport terminal management,https://www.atmlax.com/,LAX,wheelchair; baggage management; security; cargo handling; airfield transportation,501,1000,"561612, 488190, 488510, 485999",,Yes
222,American Guard Services Inc,american guard services,https://www.americanguardservices.com/,LAX,security,501,1000,561612,,Yes
224,Mercury Air Center-Los Angeles Inc,mercury air centerlos angeles,https://www.atlanticaviation.com/,LAX,into-plane fueling,4000,7000,447190,,Review
225,SIA Engineering (USA) Inc,sia engineering usa,https://www.siaec.com.sg/,EWR; LAX,sia engineering (usa); inc.; aircraft line maintenance,5000,10000,488190,,No
226,China Airlines Ltd,china airlines,https://www.china-airlines.com/,LAX,cargo handling,10000,10000,"488190, 488510",,No
228,"AGI Cargo, LLC",agi cargo,https://agi.aero/,LAX,cargo handling; ramp,12000,12000,"488190, 488510",,No
229,"AGI Ground, Inc.",agi ground,https://agi.aero/,LAX,aircraft cabin cleaning; terminal; ramp,12000,12000,"488190, 561720",,No
230,AGI Secure - CA,agi secure ca,https://agi.aero/,LAX,security,12000,12000,561612,,No
231,ACTS Aviation Security Inc,acts aviation security,https://www.acts-sec.com/,LAX,cargo screening; security,16000,16000,"561612, 488510, 488190",,No
233,Japan Airlines Co Ltd,japan airlines co,https://www.jal.com/,LAX,aircraft line maintenance,30000,30000,488190,,No
234,Unifi Aviation LLC,unifi aviation,https://unifiservice.com/,LAX,aircraft cabin cleaning; baggage management; ramp; terminal,30000,30000,"488190, 561720",,No
235,Menzies Aviation (USA) Inc,menzies aviation usa,https://menziesaviation.com/,LAX,cargo handling; into-plane fueling; ramp; interior aircraft cleaning,45000,45000,"488190, 447190, 488510",,No
236,WFS Express Inc,wfs express,https://www.wfs.aero/,EWR; LAX,cargo handling,50000,50000,"488190, 488510",,No
237,Worldwide Flight Services Inc,worldwide flight services,https://www.wfs.aero/,LAX,aircraft cabin cleaning; cargo handling; ramp,50000,50000,"488190, 488510, 561720",,No
238,Swissport Cargo Services LP,swissport cargo services,https://www.swissport.com/,EWR; LAX,cargo handling,60000,60000,"488190, 488510",,No
239,Swissport USA Inc,swissport usa,https://www.swissport.com/,EWR; LAX,swissport usa; inc.; into-plane fueling,60000,60000,447190,,No
240,Societe Air France,societe air france,https://www.airfrance.com/,LAX,aircraft line maintenance,70000,70000,488190,,No
241,"ABM Aviation, Inc",abm aviation,https://www.abm.com/aviation/,EWR; LAX,airfield transportation; aircraft cabin cleaning; wheelchair; janitorial; baggage management,100000,100000,"488190, 561720, 485999",,No
242,American Airlines Inc,american airlines,https://www.aa.com/,LAX,aircraft line maintenance,100000,100000,488190,,No
243,Swiss International Airlines,swiss international airlines,https://www.swiss.com/,LAX,aircraft line maintenance,100000,100000,488190,,No
245,Ground Services International Inc,ground services international,https://www.dnata.com/,EWR; LAX,aircraft cabin cleaning; cargo handling; ramp,100000,100000,"488190, 488510, 561720",,No
246,Prosegur Services Group Inc,prosegur services group,https://www.prosegur.com/,EWR; LAX,cargo screening; security; wheelchair,150000,150000,"561612, 488510, 488190",,No
247,Panasonic Avionics Corporation,panasonic avionics corporation,https://www.panasonic.aero/,LAX,aircraft line maintenance,200000,200000,488190,,No
248,Michael Stapleton Associates Ltd,michael stapleton associates,https://www.aus.com/,LAX,cargo screening,800000,800000,"488510, 488190",,No
249,Universal Protection Service LP,universal protection service,https://www.aus.com/,EWR; LAX,security,800000,800000,561612,,No
250,American K-9 Detection Services CA Inc,american k9 detection services ca,http://www.amk9.com,LAX,cargo screening,750,750,"488510, 488190",,Review
251,Americorp International Group Inc,americorp international group,,LAX,terminal,,,488190,,Review
252,Arinwine Aircraft Maintenance LLC,arinwine aircraft maintenance,,LAX,aircraft line maintenance,,,488190,,Review
253,Baggage Airline Guest Services Inc,baggage airline guest services,http://www.bagsvip.com,EWR; LAX,baggage airline guest services inc; terminal,5,5,488190,,Review
254,Calop Aeroground Services,calop aeroground services,,LAX,cargo screening; baggage management; security; terminal,62,62,"561612, 488190, 488510",,Review
255,"Cargo HS, LLC",cargo hs,http://www.cargohs.com,LAX,cargo handling; ramp,22,22,"488190, 488510",,Review
256,Eagle Security Services Inc,eagle security services,http://www.eaglesecurityagency.com,LAX,security,2,2,561612,,Review
257,EcoServices LLC,ecoservices,http://www.ecopowerenginewash.com,EWR; LAX,ecoservices; llc; aircraft line maintenance,52,52,488190,,Review
258,"Elite Team Logistics California, Inc.",elite team logistics california,http://www.eliteteamlogistics.com,LAX,security,82,82,561612,,Review
259,ERMC Aviation LLC,ermc aviation,http://www.ermcaviation.com,EWR; LAX,aircraft cabin cleaning; baggage management; wheelchair; security,520,520,"561612, 488190, 561720",,Review
260,F & E Aircraft Maintenance (Miami) LLC,f e aircraft maintenance miami,,LAX,aircraft line maintenance,36,36,488190,,Review
262,G2 Secure Staff,g2 secure staff,http://www.g2securestaff.com,LAX,aircraft cabin cleaning; baggage management; wheelchair; security; terminal,11000,11000,"561612, 488190, 561720",,Review
263,G2 Security Services Inc,g2 security services,,LAX,security,,,561612,,Review
264,Global Airport Concierge LLC,global airport concierge,globalairportconcierge.com,LAX,terminal,8,8,488190,,Review
265,Global Aviation Management Group Corp,global aviation management group corp,http://www.globav.com,LAX,security,,,561612,,Review
266,Global K9 Protection Group,global k9 protection group,http://www.globalk9protection.com,LAX,cargo screening,9,9,"488510, 488190",,Review
267,"GUS, Inc.",gus,http://www.gus.biz,LAX,aircraft cabin cleaning; airfield transportation; terminal,26,26,"561720, 488190, 485999",,Review
269,Hallmark Aviation Services,hallmark aviation services,,LAX,baggage management; terminal,80,80,488190,,Review
270,Horizon Aviation Services Inc,horizon aviation services,http://www.horizon-aviation.com,LAX,baggage management; security,1,1,"561612, 488190",,Review
271,Huntleigh USA Corporation,huntleigh usa corporation,,LAX,security,,,561612,,Review
272,Immaculate Flight LLC,immaculate flight,http://www.immaculateflight.com,LAX,aircraft cabin cleaning,190,190,561720,,Review
273,Imperial Security Services Inc,imperial security services,http://www.iessevents.com,LAX,cargo screening; security,84,84,"561612, 488510, 488190",,Review
275,Master Lightning Security Solutions,master lightning security solutions,http://www.mlsscorp.com,LAX,security,33,33,561612,,Review
276,Matrix Aviation Services Inc,matrix aviation services,http://www.matrix-aviation.com,EWR; LAX,terminal,510,510,488190,,Review
277,McGee Air Services Inc,mcgee air services,http://www.mcgeeairservices.com,LAX,cargo handling; ramp,2900,2900,"488190, 488510",,Review
278,Meliora Aviation LLC,meliora aviation,,LAX,interior aircraft cleaning; aeronautical maintenance (exterior aircraft cleaning),,,488190,,Review
279,Mercury Air Cargo Inc,mercury air cargo,mercuryaircargo.com,LAX,cargo handling,103,103,"488190, 488510",,Review
280,Pacific Aviation Corporation,pacific aviation corporation,,LAX,aircraft cabin cleaning; terminal,,,"561720, 488190",,Review
281,Prime Flight Aviation Services,prime flight aviation services,primeflight.com,LAX,aircraft cabin cleaning; terminal; aeronautical maintenance (exterior aircraft cleaning),1250,1250,"488190, 561720",,Review
282,Professional Aviation Marketing Inc,professional aviation marketing,,EWR; LAX,aircraft line maintenance; airfield transportation; cargo; ramp; cargo screening; terminal,6,6,"488190, 488510, 485999",,Review
283,Ranger Logistics USA LLC,ranger logistics usa,http://www.gorangerusa.com,LAX,security; aircraft cabin cleaning; terminal,2,2,"561612, 561720, 488190",,Review
284,SCIS Air Security Corporation,scis air security corporation,,LAX,security,4,4,561612,,Review
285,Service Aircraft Maintenance LLC,service aircraft maintenance,,LAX,aircraft line maintenance,,,488190,,Review
286,Sharp Details LLC,sharp details,sharpdetails.com,LAX,aircraft cabin cleaning,39,39,561720,,Review
288,SkySquad Inc,skysquad,http://www.skysquad.com,LAX,terminal,25,25,488190,,Review
289,So Cal Jet Services Inc,so cal jet services,socaljetservices.com,LAX,aircraft line maintenance,13,13,488190,,Review
290,The ACT 1 Group Inc,the act 1 group,,LAX,aircraft line maintenance,1,1,488190,,Review
291,"Thornton Aircraft Company, LLC",thornton aircraft company,,LAX,aircraft line maintenance,7,7,488190,,Review
292,UGS Private Security Inc,ugs private security,,LAX,security,,,561612,,Review
293,"Covenant Aviation Security, LLC",covenant aviation security,https://covenantsecurity.com/,SFO; ORD,passenger and baggage screening; general airport security; security services,347,347,"561612, 488190",,Review
294,"Pegasus Aviation Services, LLC",pegasus aviation services,https://www.pegasusaviationservices.com/,SFO,aircraft line maintenance; gse support,39,39,488190,,Review
295,"PrimeFlight Aviation Services, Inc.",primeflight aviation services,https://www.primeflight.com/,EWR; SFO,passenger services; aircraft cleaning; ramp; wheelchair,10000,,488190,,No
296,"Prospect Airport Services, Inc.",prospect airport services,https://www.prospectair.com/,EWR; SFO,wheelchair; passenger assistance; terminal services,10000,,488190,,No
297,"SFO Fuel Company, LLC",sfo fuel company,,SFO,airport fuel-system ownership / consortium,,,447190,,Review
298,Signature Flight Support LLC,signature flight support,https://www.signatureaviation.com/,SFO,fbo; aircraft fueling; hangarage; private-aviation support,5000,,447190,,Review
299,"Total Airport Services, LLC",total airport services,https://www.totalairportservices.com/,SFO,ramp; cargo handling; ground handling,12000,12000,"488190, 488510",,Yes
300,"Airport Butler, LLC",airport butler,https://www.airportbutler.com/,SFO,meet-and-assist; baggage assistance; terminal concierge,,5000,488190,,Yes
301,"CLEAR Secure, Inc.",clear secure,https://www.clearme.com/,SFO,identity verification; expedited passenger access,3708,3708,561612,,Review
302,SFO Shuttle Bus Company,sfo shuttle bus company,,SFO,airport employee/passenger shuttle transportation,,,485999,,Review
303,ABX Air Inc.,abx air,abxair.com,EWR; JFK,abx air inc.; aircraft maintenance services,455,455,488190,,No
304,"AccuFleet International, Inc.",accufleet international,accufleet.com,EWR; JFK,cleaning services,45,45,561720,,Review
305,"AD Partnerships, LLC",ad partnerships,,EWR; JFK,lounge services,,,722515,,Review
306,"Aero Mag 2000 JFK, LLC",aero mag 2000 jfk,,EWR; JFK,de-icing services,,,,,Review
307,AeroSnow,aerosnow,aerosnow.com,JFK,snow removal services,23,23,561790,,Review
308,"Aerotek Aviation, LLC",aerotek aviation,aerotek-aviation.co.uk,EWR; JFK,ground service equipment maintenance services,54,54,"488190, 811310",,Review
309,"Air General, Inc",air general,https://www.airgeneral.com,ORD,cargo,238,238,488510,,Review
310,"Airist NY, Inc.",airist ny,,EWR; JFK,lounge services; miscellaneous,,,722515,,Review
311,"Airline Tech Reps, LLC",airline tech reps,https://www.stslm.com,EWR; JFK; MDW,airline tech reps; llc; aeronautical maintenance services; aircraft maintenance services,,,488190,,Review
312,"Airport Ground Handlers, Inc.",airport ground handlers,agh-inc.com,EWR; JFK,in-terminal handling services,7,7,488190,,Review
313,Airport Ground Service & Leasing LLC,airport ground service leasing,,EWR; JFK,ground service equipment maintenance services,,,"488190, 811310",,Review
314,"Airway Cleaners, LLC",airway cleaners,,EWR; JFK,airway cleaners; llc; baggage services; cleaning services; ground handling services,,,"488190, 561720",,Review
